"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"","","","","","","","",""
"수서역사거리","서울특별시 강남구 수서동 724 로즈데일오피스텔","16","0","","1","2","0","0"
"양재전화국입구","서울특별시 강남구 도곡1동 207","18","0","","1","0","0","0"
"신논현역 사거리","서울 강남구 강남대로 470","14","1","","0","0","0","0"
"을지병원 앞 사거리","서울 강남구 논현동 279","17","0","","0","0","0","0"
"대치우성아파트 사거리","서울 강남구 영동대로 230","12","0","","1","0","0","0"
"하나저축은행 강남지점(남쪽)","서울 강남구 테헤란로 127","11","0","","1","0","0","0"
"구역삼세무서","서울 강남구 역삼동 806","13","0","","2","0","0","1"
"서울대청초등학교 부근(북동)","서울 강남구 양재대로55길 28","3","0","","0","1","0","0"
"선릉역 사거리","서울 강남구 테헤란로 335","13","0","","0","0","0","0"
"성수대교 남단 사거리","서울 강남구 압구정로 110-2","11","0","","0","0","0","1"
"삼성제일빌딩 앞 사거리","서울 강남구 테헤란로 309","13","0","","1","0","0","0"
"영동세브란스(강남세브란스)","서울 강남구 언주로 211","10","0","","1","0","0","0"
"서울세관 사거리","서울 강남구 논현동 279-67","12","0","","2","0","0","0"
"현대백화점 앞(무역센터점 남서)","서울 강남구 테헤란로 517","13","0","","0","0","0","1"
"역삼역 부근(동쪽)","서울 강남구 역삼동 645-5","14","0","","1","0","0","0"
"신사역 오거리","서울 강남구 논현동 280","13","0","","0","0","0","0"
"경복아파트 앞 사거리","서울 강남구 언주로 620","11","0","","0","0","0","1"
"삼성역사거리(4번출구)","서울 강남구 대치동 995","10","0","","1","0","0","1"
"차관아파트 사거리(경기고 남서)","서울 강남구 삼성동 111-61","10","0","","1","0","0","0"
"구룡초교 사거리","서울 강남구 개포동 659","10","0","","1","0","0","0"
"국민연금빌딩 부근 삼거리(동쪽)","서울 강남구 도산대로 128","9","0","","0","0","0","0"
"일원1동주민센터 앞 삼거리","서울 강남구 양재대로55길 14","9","0","","1","0","0","0"
"학동사거리","서울 강남구 청담동 77","10","0","","2","1","0","0"
"우성아파트사거리(역삼초)","서울 강남구 역삼동 858-14","10","0","","0","0","0","1"
"구룡터널사거리","서울 강남구 개포동 647-9","7","0","","0","0","0","1"
"휘문고교사거리","서울 강남구 대치동 995","8","0","","1","0","0","0"
"서울특별시 강남구 자곡동 46-8 숯내교 사거리 횡단보도","서울특별시 강남구 자곡동 46-8","7","0","","0","0","0","0"
"청담사거리","서울 강남구 청담동 77","7","0","","0","0","0","0"
"한남남단I.C(동쪽)","서울 용산구 한남동 399-7","8","0","","0","0","0","0"
"풍림아이원레몬 부근(남서)","서울 강남구 테헤란로64길 13","8","0","","0","0","0","0"
"천호사거리(천호역 앞)","서울 강동구 성내동 62-1","23","0","","1","1","0","2"
"올림픽공원북2문(체조관)","서울 송파구 방이동 88-10","12","1","","1","1","0","1"
"상일2교사거리(상일초 동쪽)","서울특별시 강동구 천호대로219가길 34","12","0","","0","0","0","0"
"길동 사거리(휴다임타워)","서울 강동구 천호대로 1139","8","0","","1","0","0","0"
"서울천동초 부근 삼거리(서쪽)","서울 강동구 성안로 200","7","0","","1","0","0","0"
"광진교 남단(천호동우체국)","서울 강동구 구천면로 188","8","1","","0","1","0","0"
"천호동성당 사거리(북쪽)","서울 강동구 구천면로 236-1","8","1","","1","1","0","0"
"생태공원앞(탐방객안내소)","서울 강동구 길동 산 7-3","9","1","","2","0","0","0"
"태영아파트 삼거리(105동)","서울 강동구 천호대로 1055","8","0","","1","1","0","0"
"티지아이프라이데이즈","서울 송파구 올림픽로 269","4","1","","0","0","0","0"
"서하남IC입구(창덕여고)","서울 송파구 양재대로 1240","9","0","","0","1","0","0"
"(암사) 앞 교차로 횡단보도 내","서울 강동구 암사동 548","5","0","","0","0","0","0"
"둔촌초 앞 사거리","서울 강동구 양재대로88길 27","5","1","","0","0","0","0"
"직업전문학교(동부기술교육원)","서울 강동구 고덕로 183","6","0","","0","0","0","1"
"천호신사거리(현대백화점천호점)","서울 강동구 천호대로 1005","9","0","","0","0","0","0"
"둔촌동역 앞 삼거리","서울 강동구 양재대로 1355","7","0","","1","1","0","0"
"서울상일초 삼거리(남서)","서울 강동구 상일동 440-3","8","0","","0","1","0","0"
"천호시장 사거리(남쪽)","서울 강동구 구천면로34길 10","6","0","","2","0","0","0"
"강동성심병원 앞 사거리","서울 강동구 성안로 150","9","0","","1","0","0","0"
"천호동공원 사거리(북서)","서울 강동구 올림픽로 702","4","0","","0","0","0","0"
"천동초 서쪽 삼거리","서울 강동구 성안로 200","6","0","","0","1","0","0"
"강동성심병원 앞 사거리","서울 강동구 성안로 150","7","0","","1","0","0","0"
"태영아파트 삼거리(105동)","서울 강동구 천호대로 1055","6","0","","0","0","0","0"
"이마트사거리(명일점 북쪽)","서울 강동구 고덕로 276","5","0","","0","0","0","0"
"암사역 삼거리(2번출구)","서울 강동구 암사동 540","6","0","","0","0","0","0"
"천호중 사거리(동쪽)","서울 강동구 상암로 153","6","0","","0","0","0","0"
"천호우성아파트 사거리(1동)","서울 강동구 구천면로 366","3","1","","1","0","0","0"
"동방아파트 사거리(북서)","서울 양천구 신월로 220","7","0","","2","0","0","0"
"올림픽대로 잠실방면 광진교 아래","서울 강동구 천호동 484-9","2","0","","0","0","0","0"
"수유역 사거리(2번출구)","서울 강북구 번동 386-16","22","0","","2","1","0","0"
"강북구청 사거리(동쪽)","서울 강북구 도봉로89길 13","16","1","","4","1","0","0"
"미아사거리(숭곡중 북서)","서울 성북구 종암로 208","14","0","","1","0","0","0"
"삼양입구 사거리(송중초)","서울 강북구 오현로 9","16","0","","3","0","0","0"
"수유사거리(대한병원)","서울 강북구 도봉로 301","13","0","","0","0","0","0"
"천주교번동성당 동쪽 삼거리","서울 강북구 한천로 945","14","0","","1","2","0","0"
"번2치안센터 남쪽 사거리","서울 강북구 오현로 199","9","1","","1","1","0","0"
"오패산터널 사거리(요진아파트)","서울 강북구 번동 390","11","1","","1","1","0","1"
"성화의료재단 대한병원(북쪽)","서울 강북구 도봉로 301","14","0","","0","0","0","0"
"삼양시장 오거리(삼양초)","서울 강북구 미아동 833-8","11","0","","1","1","0","0"
"래미안트리베라2차(204동)","서울특별시 강북구 삼양로27길 19","12","0","","1","0","0","0"
"도봉세무서 사거리(북쪽)","서울 강북구 도봉로 117","8","0","","1","0","0","0"
"미아역 사거리(6번출구 서쪽)","서울 강북구 미아동 194-1","13","0","","2","1","0","0"
"경남아너스빌 앞(103동)","서울 구로구 구로중앙로8길 41-23","8","0","","1","0","0","0"
"수유중앙교회 앞 사거리","서울 강북구 덕릉로 63","10","0","","3","0","0","0"
"수유3동우체국 앞 삼거리","서울 강북구 도봉로 383","7","1","","1","0","0","0"
"수유3동우체국 앞 삼거리","서울 강북구 도봉로 383","8","1","","1","3","0","0"
"석관사거리(서울숭곡초)","서울 성북구 종암로40길 30","4","0","","0","0","0","0"
"미아삼거리역 삼거리(2번출구)","서울 강북구 미아동 860-68","12","0","","1","0","0","0"
"개신대학원대학교 앞 사거리","서울 강북구 도봉로 235","12","0","","3","2","0","0"
"창문여중고 입구 삼거리","서울 강북구 월계로 61","7","0","","0","0","0","0"
"수유3동주민센터 앞 사거리","서울 강북구 노해로 36","11","0","","1","2","0","1"
"미아 경남아너스빌(101동)","서울 강북구 삼양로74길 8","7","0","","1","0","0","0"
"삼양입구 사거리(송중초)","서울 강북구 오현로 9","7","0","","1","0","0","0"
"주영광교회 앞 사거리","서울 관악구 호암로 467","5","0","","1","0","0","0"
"번2치안센터 남쪽 사거리","서울 강북구 오현로 199","2","0","","0","0","0","0"
"미아동주민센터 앞 삼거리","서울 강북구 솔매로49길 14","7","0","","0","1","0","0"
"서울사이버대 부근(서쪽)","서울 강북구 솔매로49길 60","6","0","","0","1","0","0"
"송중동주민센터 사거리(북쪽)","서울 강북구 오패산로 162","6","0","","0","0","0","0"
"한신대교차로","서울 강북구 수유동 461-1","6","0","","1","0","0","0"
"서울양동초 삼거리(서쪽)","서울 양천구 오목로23길 24","12","2","","0","0","0","0"
"마곡역 부근 사거리(1번출구)","서울 강서구 마곡동 761-5","10","0","","0","0","0","0"
"화곡사거리(까치산역 3번출구)","서울 강서구 화곡동 343-51","14","1","","2","0","0","0"
"강서구청입구(경복여고 남동)","서울 강서구 등촌동 665-7","11","0","","0","1","0","0"
"서울신월초 삼거리(북쪽)","서울 강서구 화곡동 1089-53","8","0","","1","0","0","0"
"화곡사거리(까치산역 3번출구)","서울 강서구 화곡동 662-6","15","0","","2","0","0","1"
"양천향교역 앞 사거리","서울 강서구 가양동 150-34","7","0","","0","0","0","0"
"마곡엠밸리10단지 앞 공항대로 상","서울 강서구 마곡동 730-735","6","0","","3","0","0","0"
"가양역사거리(5번출구)","서울 강서구 가양동 451-1","9","0","","0","0","0","0"
"발산역 부근 (8번출구 서쪽)","서울 강서구 마곡동 808","4","1","","0","1","0","0"
"화곡역 앞 사거리","서울 강서구 화곡동 1089-54","11","0","","0","0","0","0"
"강서그랜드아이파크 앞 사거리","서울 강서구 화곡동 1106-3","7","0","","1","0","0","1"
"김포공항입구 사거리(북동)","서울 강서구 방화동 886-15","11","0","","0","1","0","0"
"가양아파트사거리(601동 서쪽)","서울 강서구 가양동 451-6","7","0","","0","0","0","0"
"개화사거리(서울개화초 남서)","서울 강서구 방화동 515-4","6","0","","0","0","0","0"
"청성아파트 부근 삼거리(남쪽)","서울 강서구 방화동 596-1","5","1","","0","0","0","0"
"양화교 서단 사거리","서울 양천구 목동 560","7","0","","0","1","0","0"
"화곡4동우체국 부근(서쪽)","서울 강서구 곰달래로 265","6","0","","0","0","0","1"
"신방화사거리(강서공고)","서울 강서구 방화동 834-3","3","1","","1","0","0","0"
"화곡4동우체국 사거리(동쪽)","서울 강서구 곰달래로 265","5","0","","0","0","0","0"
"현대그린아파트 사거리(서쪽)","서울 강서구 화곡동 944-14","8","0","","1","0","0","0"
"신방화사거리(강서공고)","서울 강서구 방화동 834-4","5","1","","0","2","0","0"
"화곡동 111-69번지 삼거리","서울 강서구 화곡동 111-69","7","0","","0","0","0","0"
