SERIAL,ADMCD,ADMNM,X,Y
0,1100000000,서울특별시,954919,1950195
1,1111000000,서울특별시 종로구,953003,1955642
2,1111051000,서울특별시 종로구 청운동,953064,1954062
3,1111051500,서울특별시 종로구 청운효자동,953064,1954062
4,1111052000,서울특별시 종로구 효자동,953064,1954062
5,1111053000,서울특별시 종로구 사직동,953238,1952853
6,1111054000,서울특별시 종로구 삼청동,954289,1954201
7,1111055000,서울특별시 종로구 부암동,952832,1955251
8,1111056000,서울특별시 종로구 평창동,953124,1957283
9,1111057000,서울특별시 종로구 무악동,952228,1953240
10,1111058000,서울특별시 종로구 교남동,952682,1952534
11,1111060000,서울특별시 종로구 가회동,954653,1953970
12,1111061500,서울특별시 종로구 종로1.2.3.4가동,955243,1953276
13,1111063000,서울특별시 종로구 종로5.6가동,956175,1952763
14,1111064000,서울특별시 종로구 이화동,956085,1953527
15,1111065000,서울특별시 종로구 혜화동,955828,1954272
16,1111066000,서울특별시 종로구 명륜3가동,955780,1954032
17,1111067000,서울특별시 종로구 창신제1동,957041,1952765
18,1111068000,서울특별시 종로구 창신제2동,956733,1953067
19,1111069000,서울특별시 종로구 창신제3동,957013,1953379
20,1111070000,서울특별시 종로구 숭인제1동,957351,1953238
21,1111071000,서울특별시 종로구 숭인제2동,957721,1952945
22,1114000000,서울특별시 중구,955194,1951059
23,1114052000,서울특별시 중구 소공동,953644,1951801
24,1114054000,서울특별시 중구 회현동,953733,1950998
25,1114055000,서울특별시 중구 명동,954586,1951500
26,1114057000,서울특별시 중구 필동,955351,1950933
27,1114058000,서울특별시 중구 장충동,956179,1950800
28,1114059000,서울특별시 중구 광희동,956457,1951917
29,1114060000,서울특별시 중구 을지로3.4.5가동,955634,1951997
30,1114060500,서울특별시 중구 을지로동,955634,1951997
31,1114061000,서울특별시 중구 신당제1동,957088,1951826
32,1114061500,서울특별시 중구 신당동,957021,1951886
33,1114062000,서울특별시 중구 신당제2동,956561,1950741
34,1114062500,서울특별시 중구 다산동,956546,1950730
35,1114063000,서울특별시 중구 신당제3동,956744,1950163
36,1114063500,서울특별시 중구 약수동,956727,1950153
37,1114064000,서울특별시 중구 신당제4동,957145,1950916
38,1114064500,서울특별시 중구 청구동,957193,1950968
